subjID	group	trial	cue	keyPressed	outcome	rt
1	A	1	1	0	1	999.0
1	A	2	1	0	1	999.0
1	A	3	2	0	0	999.0
1	A	4	2	0	0	999.0
1	A	5	3	0	1	999.0
1	A	6	2	0	0	999.0
1	A	7	2	0	0	999.0
1	A	8	1	0	1	999.0
1	A	9	3	0	1	999.0
1	A	10	2	0	0	999.0
1	A	11	3	0	1	999.0
1	A	12	2	0	1	999.0
1	A	13	1	0	1	999.0
1	A	14	1	0	1	999.0
1	A	15	2	0	0	999.0
1	A	16	3	0	1	999.0
1	A	17	3	0	1	999.0
1	A	18	1	0	1	999.0
1	A	19	1	0	1	999.0
1	A	20	3	0	0	999.0
1	A	21	3	0	0	999.0
1	A	22	1	0	1	999.0
1	A	23	1	0	1	999.0
1	A	24	2	0	0	999.0
1	A	25	1	0	1	999.0
1	A	26	2	0	0	999.0
1	A	27	3	0	1	999.0
1	A	28	2	0	0	999.0
1	A	29	2	0	0	999.0
1	A	30	1	0	1	999.0
1	A	31	2	0	0	999.0
1	A	32	2	0	0	999.0
1	A	33	1	0	1	999.0
1	A	34	3	0	1	999.0
1	A	35	3	0	0	999.0
1	A	36	1	0	1	999.0
1	A	37	1	0	1	999.0
1	A	38	3	0	1	999.0
1	A	39	1	0	1	999.0
1	A	40	2	0	0	999.0
1	A	41	1	0	1	999.0
1	A	42	2	0	0	999.0
1	A	43	2	0	0	999.0
1	A	44	3	0	0	999.0
1	A	45	3	0	0	999.0
1	A	46	2	0	0	999.0
1	A	47	3	0	1	999.0
1	A	48	3	0	1	999.0
1	A	49	2	0	0	999.0
1	A	50	3	0	1	999.0
1	A	51	1	0	1	999.0
1	A	52	2	0	0	999.0
1	A	53	1	0	1	999.0
1	A	54	3	0	1	999.0
1	A	55	3	0	1	999.0
1	A	56	1	0	1	999.0
1	A	57	1	0	1	999.0
1	A	58	1	0	1	999.0
1	A	59	3	0	1	999.0
1	A	60	2	0	0	999.0
1	A	61	2	0	0	999.0
1	A	62	2	0	0	999.0
1	A	63	3	0	0	999.0
1	A	64	3	0	1	999.0
1	A	65	3	0	0	999.0
1	A	66	1	0	1	999.0
1	A	67	1	0	1	999.0
1	A	68	2	0	0	999.0
1	A	69	3	0	1	999.0
1	A	70	3	0	0	999.0
1	A	71	1	0	1	999.0
1	A	72	2	0	0	999.0
1	A	73	2	0	1	999.0
1	A	74	3	0	1	999.0
1	A	75	1	0	1	999.0
1	A	76	2	0	0	999.0
1	A	77	2	0	1	999.0
1	A	78	3	0	1	999.0
1	A	79	2	0	0	999.0
1	A	80	3	0	1	999.0
1	A	81	3	0	1	999.0
1	A	82	2	0	1	999.0
1	A	83	2	0	0	999.0
1	A	84	1	0	0	999.0
1	A	85	1	0	1	999.0
1	A	86	1	0	1	999.0
1	A	87	3	0	1	999.0
1	A	88	2	0	0	999.0
1	A	89	3	0	1	999.0
1	A	90	2	0	0	999.0
1	A	91	1	0	1	999.0
1	A	92	1	0	1	999.0
1	A	93	2	0	0	999.0
1	A	94	3	0	1	999.0
1	A	95	1	0	1	999.0
1	A	96	3	0	1	999.0
1	A	97	1	0	1	999.0
1	A	98	3	0	1	999.0
1	A	99	3	0	0	999.0
1	A	100	2	0	0	999.0
1	A	101	3	0	1	999.0
1	A	102	1	0	0	999.0
1	A	103	2	0	1	999.0
1	A	104	1	0	1	999.0
1	A	105	2	0	0	999.0
1	A	106	3	0	1	999.0
1	A	107	1	0	1	999.0
1	A	108	2	0	0	999.0
1	A	109	2	0	0	999.0
1	A	110	3	0	0	999.0
1	A	111	2	0	0	999.0
1	A	112	2	0	0	999.0
1	A	113	3	0	1	999.0
1	A	114	2	0	0	999.0
1	A	115	1	0	1	999.0
1	A	116	3	1	1	1.2697
1	A	117	2	1	0	0.1152
1	A	118	3	1	0	0.0483
1	A	119	1	1	0	0.1051
1	A	120	2	1	1	0.1307
1	A	121	3	1	0	0.2037
1	A	122	3	1	0	0.086
1	A	123	3	1	1	0.0667
1	A	124	1	1	0	0.2945
1	A	125	1	1	0	0.0962
1	A	126	2	1	0	0.1039
1	A	127	2	1	1	0.1609
1	A	128	2	1	1	0.1412
1	A	129	1	1	0	1.3748
1	A	130	1	1	0	1.5944
1	A	131	3	1	0	0.3183
1	A	132	3	1	0	0.169
1	A	133	1	1	0	0.5266
1	A	134	1	1	0	0.5195
1	A	135	1	1	0	0.0522
1	A	136	2	1	0	0.5393
1	A	137	3	0	1	999.0
1	A	138	3	0	1	999.0
1	A	139	1	1	1	0.5722
1	A	140	3	1	0	0.0489
1	A	141	1	1	1	0.2202
1	A	142	1	1	0	0.1037
1	A	143	2	1	1	0.7409
1	A	144	2	1	1	0.421
1	A	145	1	1	1	0.6171
