subjID	group	trial	choice	rt	gain	loss
0	pt	0	2	0	0	0
0	pt	1	2	0	0	0
0	pt	2	2	0	1	0
0	pt	3	2	0	0	0
0	pt	4	3	0	0	-1
0	pt	5	1	0	0	0
0	pt	6	1	0	1	0
0	pt	7	2	0	0	0
0	pt	8	1	0	1	0
0	pt	9	1	0	0	0
0	pt	10	2	0	0	0
0	pt	11	2	0	0	0
0	pt	12	2	0	0	0
0	pt	13	2	0	0	0
0	pt	14	2	0	0	0
0	pt	15	2	0	1	0
0	pt	16	2	0	0	0
0	pt	17	1	0	0	0
0	pt	18	1	0	0	0
0	pt	19	1	0	0	0
0	pt	20	3	0	0	-1
0	pt	21	1	0	1	0
0	pt	22	3	0	0	0
0	pt	23	1	0	0	0
0	pt	24	2	0	0	0
0	pt	25	2	0	0	0
0	pt	26	3	0	0	0
0	pt	27	1	0	0	-1
0	pt	28	2	0	1	0
0	pt	29	2	0	0	0
0	pt	30	3	0	0	-1
0	pt	31	1	0	0	0
0	pt	32	1	0	1	0
0	pt	33	1	0	0	0
0	pt	34	2	0	1	0
0	pt	35	2	0	1	0
0	pt	36	2	0	0	0
0	pt	37	3	0	1	0
0	pt	38	3	0	0	-1
0	pt	39	1	0	0	0
1	pt	0	1	0	0	0
1	pt	1	1	0	1	0
1	pt	2	1	0	0	0
1	pt	3	3	0	0	0
1	pt	4	3	0	0	-1
1	pt	5	2	0	0	0
1	pt	6	2	0	0	0
1	pt	7	2	0	0	-1
1	pt	8	1	0	1	0
1	pt	9	1	0	0	-1
1	pt	10	3	0	0	0
1	pt	11	2	0	0	0
1	pt	12	3	0	1	-1
1	pt	13	3	0	0	0
1	pt	14	2	0	0	0
1	pt	15	1	0	0	0
1	pt	16	2	0	0	0
1	pt	17	3	0	1	0
1	pt	18	3	0	0	0
1	pt	19	1	0	1	0
1	pt	20	1	0	0	-1
1	pt	21	2	0	0	0
1	pt	22	2	0	1	0
1	pt	23	2	0	0	0
1	pt	24	2	0	0	0
1	pt	25	2	0	0	0
1	pt	26	1	0	0	0
1	pt	27	2	0	0	-1
1	pt	28	3	0	0	0
1	pt	29	1	0	0	-1
1	pt	30	3	0	0	0
1	pt	31	3	0	0	-1
1	pt	32	2	0	1	0
1	pt	33	2	0	1	0
1	pt	34	2	0	1	0
1	pt	35	2	0	0	0
1	pt	36	1	0	0	0
1	pt	37	1	0	0	0
1	pt	38	3	0	0	0
1	pt	39	1	0	0	0
2	pt	0	2	0	0	0
2	pt	1	2	0	0	0
2	pt	2	3	0	0	-1
2	pt	3	1	0	0	0
2	pt	4	3	0	0	0
2	pt	5	1	0	0	-1
2	pt	6	3	0	0	0
2	pt	7	3	0	0	0
2	pt	8	3	0	1	0
2	pt	9	3	0	0	-1
2	pt	10	2	0	0	0
2	pt	11	2	0	0	0
2	pt	12	2	0	0	0
2	pt	13	1	0	1	0
2	pt	14	1	0	0	0
2	pt	15	2	0	0	0
2	pt	16	2	0	0	0
2	pt	17	3	0	1	-1
2	pt	18	3	0	1	0
2	pt	19	2	0	0	0
2	pt	20	3	0	0	-1
2	pt	21	1	0	0	0
2	pt	22	1	0	0	0
2	pt	23	1	0	0	0
2	pt	24	2	0	1	0
2	pt	25	2	0	0	0
2	pt	26	1	0	0	0
2	pt	27	1	0	0	0
2	pt	28	1	0	1	0
2	pt	29	1	0	1	-1
2	pt	30	1	0	0	0
2	pt	31	2	0	0	0
2	pt	32	2	0	0	0
2	pt	33	1	0	0	0
2	pt	34	2	0	1	0
2	pt	35	1	0	0	0
2	pt	36	2	0	1	0
2	pt	37	2	0	0	-1
2	pt	38	1	0	1	0
2	pt	39	1	0	1	0
3	pt	0	3	0	0	-1
3	pt	1	2	0	0	0
3	pt	2	2	0	0	0
3	pt	3	1	0	1	-1
3	pt	4	1	0	1	-1
3	pt	5	1	0	1	0
3	pt	6	1	0	1	0
3	pt	7	1	0	1	0
3	pt	8	1	0	0	0
3	pt	9	3	0	0	-1
3	pt	10	2	0	0	0
3	pt	11	2	0	0	0
3	pt	12	1	0	1	0
3	pt	13	1	0	0	0
3	pt	14	2	0	0	0
3	pt	15	2	0	0	0
3	pt	16	2	0	0	0
3	pt	17	1	0	0	0
3	pt	18	3	0	1	0
3	pt	19	3	0	0	0
3	pt	20	3	0	0	-1
3	pt	21	1	0	0	0
3	pt	22	1	0	0	0
3	pt	23	1	0	0	0
3	pt	24	2	0	0	0
3	pt	25	2	0	1	0
3	pt	26	2	0	0	-1
3	pt	27	3	0	1	-1
3	pt	28	3	0	1	0
3	pt	29	3	0	1	0
3	pt	30	3	0	0	0
3	pt	31	1	0	0	0
3	pt	32	1	0	0	0
3	pt	33	1	0	0	0
3	pt	34	3	0	0	0
3	pt	35	3	0	1	-1
3	pt	36	3	0	1	0
3	pt	37	3	0	1	0
3	pt	38	2	0	0	0
3	pt	39	3	0	0	0
